 Universal League S2
1WIN SERIES DOTA 2
2023 Xmas Cup
2024 New Year Cup
ACL×ESL Challenger China
Americas Convergence Series 1
Arena of Gods
AsiaPro League
AsiaPro League S2
Asian Dragon Series: Continental Collision
BLAST SLAM I
BLAST Slam IV: China Closed Qualifier
BLAST Slam V: China Closed Qualifier
Battle Squawk
BetBoom Dacha - Closed Qualifier - China and SEA
BetBoom Dacha - Closed Qualifier - EEU
BetBoom Dacha - Closed Qualifier - MENA
BetBoom Dacha - Closed Qualifier - NA and SA
BetBoom Dacha - Closed Qualifier - WEU
BetBoom Dacha Belgrade 2024
BetBoom Dacha Belgrade 2024 - Closed Qualifiers - Americas
BetBoom Dacha Belgrade 2024 - Closed Qualifiers - China
BetBoom Dacha Belgrade 2024 - Closed Qualifiers - EEU
BetBoom Dacha Belgrade 2024 - Closed Qualifiers - SEA
BetBoom Dacha Belgrade 2024 - Closed Qualifiers - WEU
BetBoom Dacha Dubai 2024
BetBoom RU Battle
Bitel True Fighters #4
Bitel True Fighters 2024
Blizzard Brawl: New year decider
CCT Dota 2 Season 2 Series 1
CCT Dota 2 Season 2 Series 2
CCT Dota 2 Season 2 Series 3
CCT Dota 2 Season 2 Series 4
CCT Dota 2 Season 2 Series 5
CCT Dota 2 Season 2 Series 6
CCT Dota 2 Season 2 South America Series 1
CCT Dota 2 Series 1
CCT Dota 2 Series 2
CCT Dota 2 Series 3
CCT Dota 2 Series 4
CCT Dota 2 Series 5
CCT Dota 2 Series 6
CCT Dota 2 Series 7
CCT Dota 2 Series 8
CIS Battle 3
CIS Battle Dota 2
Clavision DOTA League S1 : Snow-Ruyi
Clavision DOTA2 Masters 2025: Snow-Ruyi
Cringe Station Tournament
DreamLeague Division 2 Season 1
DreamLeague Division 2 Season 2
DreamLeague Season 22 Qualifiers
DreamLeague Season 22 powered by Intel
DreamLeague Season 23 Qualifiers Powered by Intel
DreamLeague Season 23 powered by Intel
DreamLeague Season 24 powered by Intel
DreamLeague Season 25 Qualifiers powered by Intel
DreamLeague Season 25 powered by Intel
DreamLeague Season 26
DreamLeague Season 26 Qualifiers
DreamLeague Season 27 Qualifiers
DreamLeague Season Qualifiers 24 powered by Intel
E-sport SM 2025
EPL World Series: America 2023-2024 Season 
EPL World Series: America 2024-2025 Season 
EPL World Series: Southeast Asia 2024-2025 Season 
EPL World Series: Southeast Asia 2025-2026 Season 
ESL One Bangkok 2024 Qualifiers powered by Intel
ESL One Bangkok 2024 powered by Intel
ESL One Birmingham 2024 Powered by Intel
ESL One Birmingham 2024 Qualifiers powered by Intel
ESL One Raleigh 2025
ESL One Raleigh 2025 Qualifiers
Elite League - Closed Qualifier China
Elite League - Closed Qualifier Eastern Europe
Elite League - Closed Qualifier MENA
Elite League - Closed Qualifier SEA
Elite League - Closed Qualifier South America
Elite League - Closed Qualifier Western Europe
Elite League Season 2 CN Closed Qualifiers – presented by ESB
Elite League Season 2 EEU Closed Qualifiers – presented by ESB
Elite League Season 2 Main Event – presented by ESB
Elite League Season 2 NA Closed Qualifiers – presented by ESB
Elite League Season 2 SA Closed Qualifiers – presented by ESB
Elite League Season 2 SEA Closed Qualifiers – presented by ESB
Elite League Season 2 WEU Closed Qualifiers – presented by ESB
Elite League by FISSURE and ESB
Epic Clash
Esports World Cup 2025
Esports World Cup 2025 Qualifiers
European Pro League  2023-2024 Season
European Pro League  2024-2025 Season
European Pro League  2025-2026 Season
FISSURE PLAYGROUND - Closed Qualifiers - Americas
FISSURE PLAYGROUND - Closed Qualifiers - China
FISSURE PLAYGROUND - Closed Qualifiers - EEU
FISSURE PLAYGROUND - Closed Qualifiers - SEA
FISSURE PLAYGROUND - Closed Qualifiers - WEU
FISSURE PLAYGROUND 1 - Dota
FISSURE PLAYGROUND 2
FISSURE PLAYGROUND 2 - Closed Qualifiers - Americas
FISSURE PLAYGROUND 2 - Closed Qualifiers - Americas (SA)
FISSURE PLAYGROUND 2 - Closed Qualifiers - China
FISSURE PLAYGROUND 2 - Closed Qualifiers - EEU
FISSURE PLAYGROUND 2 - Closed Qualifiers - WEU+EEU
FISSURE Special
FISSURE Tournament 
FISSURE Universe Ep.4 - Closed Qualifiers - China
FISSURE Universe Ep.4 - Closed Qualifiers - EEU
FISSURE Universe Ep.4 - Closed Qualifiers - NA
FISSURE Universe Ep.4 - Closed Qualifiers - SA
FISSURE Universe Ep.4 - Closed Qualifiers - SEA
FISSURE Universe Ep.4 - Closed Qualifiers - WEU
FISSURE Universe Episode 4
FISSURE Universe Episode 5
FISSURE Universe Episode 6
FISSURE Universe Episode 7
FISSURE Universe: Episode 3
Games of Future 2024
III Киберспортивный турнир Сбера по Dota 2
Kobolds Rave 2
LATAMAX Cup Royal
LEON.BET Masters DOTA2 #1
MESA Invitational
Maincard Unmatched
NADCL Season 8
Opus League 
PGL Wallachia 2024 Season 1
PGL Wallachia 2024 Season 2
PGL Wallachia 2025 Season 3
PGL Wallachia 2025 Season 4
PGL Wallachia 2025 Season 5
PGL Wallachia 2025 Season 6
PGL Wallachia Season #1 CN Closed Qualifiers
PGL Wallachia Season #1 EEU Closed Qualifiers
PGL Wallachia Season #1 NA Closed Qualifiers
PGL Wallachia Season #1 SA Closed Qualifiers
PGL Wallachia Season #1 SEA Closed Qualifiers
PGL Wallachia Season #1 WEU Closed Qualifiers
PGL Wallachia Season #2 CN Closed Qualifiers
PGL Wallachia Season #2 EEU Closed Qualifiers
PGL Wallachia Season #2 NA Closed Qualifiers
PGL Wallachia Season #2 SA Closed Qualifiers
PGL Wallachia Season #2 SEA Closed Qualifiers
PGL Wallachia Season #2 WEU Closed Qualifiers
PGL Wallachia Season #3 CN Closed Qualifiers
PGL Wallachia Season #3 EEU Closed Qualifiers
PGL Wallachia Season #3 NA Closed Qualifiers
PGL Wallachia Season #3 SA Closed Qualifiers
PGL Wallachia Season #3 SEA Closed Qualifiers
PGL Wallachia Season #3 WEU Closed Qualifiers
PGL Wallachia Season #4 AMER Closed Qualifiers
PGL Wallachia Season #4 CN Closed Qualifiers
PGL Wallachia Season #4 EEU Closed Qualifiers
PGL Wallachia Season #4 SEA Closed Qualifiers
PGL Wallachia Season #4 WEU Closed Qualifiers
PGL Wallachia Season #6 AMER Closed Qualifiers
PGL Wallachia Season #6 CN Closed Qualifiers
PGL Wallachia Season #6 EEU Closed Qualifiers
PGL Wallachia Season #6 SEA Closed Qualifiers
PGL Wallachia Season #6 WEU Closed Qualifiers
PREDATOR LEAGUE APAC FINALS 2025
Phoenix League
Portal Dota2 World Invitationals
REDRAGON Battle Series DOTA2
RES - Regional Series EU #1
RES - Regional Series EU #3
RES - Regional Series EU #4
RES - Regional Series LATAM #3
RES - Regional Series LATAM #4
RES - Regional Series LATAM 1
RES - Regional Series SEA #2
RES - Regional Series SEA #3
RES - Regional Series SEA #4
RES - Regional Series SEA 1
RES Unchained - A Blast Dota Slam IV Qualifier EU
RES Unchained - A Blast Dota Slam IV Qualifier SEA
RES Unchained - A Blast Dota Slam V Qualifier EU
RES Unchained - A Blast Dota Slam V Qualifier SEA
Redragon Latam Series Dota2
Riyadh Masters 2024 at Esports World Cup
Riyadh Masters 2024 at Esports World Cup Qualifiers
Road To The International 2024  - Regional Qualifiers North America
Road To The International 2024  - Regional Qualifiers South America
Road To The International 2024  - Regional Qualifiers Southeast Asia
Road To The International 2024  - Regional Qualifiers Western Europe
Road To The International 2024 - Regional Qualifiers China
Road To The International 2024 - Regional Qualifiers Eastern Europe
Road To The International 2025 - Regional Qualifiers China
Road To The International 2025 - Regional Qualifiers Eastern Europe
Road To The International 2025 - Regional Qualifiers North America
Road To The International 2025 - Regional Qualifiers South America
Road To The International 2025 - Regional Qualifiers Southeast Asia
Road To The International 2025 - Regional Qualifiers Western Europe
Road to APAC Predator League 2026 : Indonesian Series
SLAM II
SLAM III
SLAM IV
SLAM V
Samsung Odyssey Cup Dota 2 Championship
Snake Trophy
Snake Trophy 
Snake Trophy 2
Summoner’s Cup
Sunday Evening Cup Series
TDL Americas Pro Series 2024 Season 1
Tennisi Stampede Champions - Season 1
The International 2024
The International 2025
ULD Season 2 : Americas
WINLINE InSight Season 5
Кубок России Сбера по компьютерному спорту 2025
Открытые Киберспортивные Игры 2024
Открытые Киберспортивные Игры Сбера 2025
Чемпионат России Сбера 2025
