tournament_name,leagueid,matches_count
PGL Wallachia Season #3 WEU Closed Qualifiers,17673,31
BetBoom Dacha Belgrade 2024 - Closed Qualifiers - WEU,17091,31
Road To The International 2025 - Regional Qualifiers China,18306,31
Elite League Season 2 EEU Closed Qualifiers – presented by ESB,16776,30
PGL Wallachia Season #2 WEU Closed Qualifiers,17012,30
Elite League Season 2 WEU Closed Qualifiers – presented by ESB,16777,30
FISSURE PLAYGROUND - Closed Qualifiers - Americas,17525,30
PGL Wallachia Season #3 SEA Closed Qualifiers,17671,30
PGL Wallachia Season #3 EEU Closed Qualifiers,17674,30
RES Unchained - A Blast Dota Slam V Qualifier EU,18761,29
Redragon Latam Series Dota2,18766,29
FISSURE PLAYGROUND - Closed Qualifiers - China,17527,29
RES Unchained - A Blast Dota Slam IV Qualifier EU,18702,29
FISSURE Universe Ep.4 - Closed Qualifiers - EEU,17767,28
BLAST Slam V: China Closed Qualifier,18830,28
RES Unchained - A Blast Dota Slam IV Qualifier SEA,18704,27
PGL Wallachia Season #3 SA Closed Qualifiers,17670,27
Portal Dota2 World Invitationals,16527,27
Road To The International 2024 - Regional Qualifiers South America,16841,26
AsiaPro League,17458,26
FISSURE Universe Ep.4 - Closed Qualifiers - WEU,17768,26
PGL Wallachia Season #1 WEU Closed Qualifiers,16481,25
BetBoom Dacha - Closed Qualifier - NA and SA,16097,25
RES - Regional Series SEA 1,16207,25
RES - Regional Series SEA #2,16344,23
Opus League,16248,22
Americas Convergence Series 1,18474,22
Battle Squawk,17199,22
RES - Regional Series LATAM #3,16706,22
BetBoom Dacha - Closed Qualifier - China and SEA,16098,21
2024 New Year Cup,16108,21
Bitel True Fighters #4,17554,21
RES - Regional Series SEA #4,16708,21
Bitel True Fighters 2024,17074,20
BetBoom Dacha Belgrade 2024 - Closed Qualifiers - Americas,17122,20
Tennisi Stampede Champions - Season 1,18940,19
RES - Regional Series LATAM #4,16709,19
Road To The International 2024 - Regional Qualifiers North America,16844,19
BetBoom Dacha - Closed Qualifier - WEU,16099,19
Road To The International 2024 - Regional Qualifiers China,16843,19
BetBoom Dacha - Closed Qualifier - MENA,16100,18
Road To The International 2024 - Regional Qualifiers Southeast Asia,16840,17
CCT Dota 2 Season 2 Series 1,18201,17
PGL Wallachia Season #4 CN Closed Qualifiers,17777,16
BetBoom Dacha Belgrade 2024 - Closed Qualifiers - China,17109,16
Elite League Season 2 SEA Closed Qualifiers – presented by ESB,16775,16
Road To The International 2025 - Regional Qualifiers North America,18307,15
FISSURE Universe Ep.4 - Closed Qualifiers - SEA,17771,15
PGL Wallachia Season #1 SA Closed Qualifiers,16477,15
Elite League - Closed Qualifier SEA,16409,14
PGL Wallachia Season #2 SEA Closed Qualifiers,17009,14
Cringe Station Tournament,16338,14
PGL Wallachia Season #3 CN Closed Qualifiers,17672,14
PGL Wallachia Season #1 SEA Closed Qualifiers,16478,14
PGL Wallachia Season #2 CN Closed Qualifiers,17010,13
Blizzard Brawl: New year decider,16158,13
FISSURE Universe Ep.4 - Closed Qualifiers - China,17772,12
Elite League - Closed Qualifier MENA,16410,12
FISSURE Universe Ep.4 - Closed Qualifiers - SA,17770,12
Elite League Season 2 CN Closed Qualifiers – presented by ESB,16774,12
Snake Trophy,18490,12
PGL Wallachia Season #1 CN Closed Qualifiers,16479,11
PGL Wallachia Season #6 CN Closed Qualifiers,18749,11
Открытые Киберспортивные Игры Сбера 2025,19040,10
RES - Regional Series LATAM 1,16233,10
Summoner’s Cup,17318,9
Elite League - Closed Qualifier South America,16407,9
Кубок России Сбера по компьютерному спорту 2025,18434,9
Elite League - Closed Qualifier Western Europe,16405,9
Epic Clash,17319,9
ULD Season 2 : Americas,17969,8
2023 Xmas Cup,16011,8
Elite League - Closed Qualifier China,16408,8
PGL Wallachia Season #1 NA Closed Qualifiers,16476,8
PGL Wallachia Season #2 NA Closed Qualifiers,17007,7
Elite League Season 2 NA Closed Qualifiers – presented by ESB,16778,7
Чемпионат России Сбера 2025,18325,7
Road to APAC Predator League 2026 : Indonesian Series,18859,7
REDRAGON Battle Series DOTA2,18995,7
PREDATOR LEAGUE APAC FINALS 2025,17512,7
PGL Wallachia Season #2 SA Closed Qualifiers,17008,5
Открытые Киберспортивные Игры 2024,17513,5
LATAMAX Cup Royal,16981,5
Universal League S2,17747,5
PGL Wallachia Season #3 NA Closed Qualifiers,17669,5
Arena of Gods,16714,4
FISSURE Universe Ep.4 - Closed Qualifiers - NA,17769,4
Elite League Season 2 SA Closed Qualifiers – presented by ESB,16779,4
Snake Trophy,19054,3
III Киберспортивный турнир Сбера по Dota 2,18485,3
FISSURE PLAYGROUND 2 - Closed Qualifiers - Americas (SA),18700,3
Samsung Odyssey Cup Dota 2 Championship,16933,2
E-sport SM 2025,17876,2
Sunday Evening Cup Series,16078,2
Maincard Unmatched,16349,2
TDL Americas Pro Series 2024 Season 1,15889,2
NADCL Season 8,18190,1
